sentence,name,slug,house_name
Any man who must say 'I am the King' is no true King.,Tywin Lannister,tywin,House Lannister of Casterly Rock
The man who passes the sentence should swing the sword.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
He was no dragon. Fire cannot kill a dragon.,Daenerys Targaryen,daenerys,House Targaryen of King's Landing
The man who passes the sentence should swing the sword.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"I am a Stark of Winterfell, this is my home. And you can't frighten me.",Sansa Stark,sansa,House Stark of Winterfell
"When you tear out a man's tongue, you are not proving him a liar, you're only telling the world that you fear what he might say",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
A madman sees what he sees.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"Death is so terribly final, while life is full of possibilities.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"I, Eddard of the house Stark, lord of Winterfell and warden of the North, sentence you to die.","Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"My sword is yours, in victory and defeat, from this day until my last day.",Theon Greyjoy,theon,House Greyjoy of Pyke
"People often claim to hunger for truth, but seldom like the taste when it's served up.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
A Lannister always pays his debts.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
Leave one wolf alive and the sheep are never safe.,Arya Stark,arya,House Stark of Winterfell
"If you think this has a happy ending, you haven't been paying attention.",Ramsay Bolton,ramsay,House Bolton of the Dreadfort
"I was told you were drunk, impertinent and thoroughly debauched. You can imagine my disappointment at finding nothing but a browbeaten bookkeeper.",Olenna Tyrell,olenna,House Tyrell of Highgarden
"Every day that he remains a prisoner, the less our name commands respect.",Tywin Lannister,tywin,House Lannister of Casterly Rock
"Power resides where men believe it resides. It's a trick, a shadow on the wall. And a very small man can cast a very large shadow.",Lord Varys,varys,
A lion does not concern himself with the opinion of sheep.,Tywin Lannister,tywin,House Lannister of Casterly Rock
A Lannister always pays his debts.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
Love is the death of duty.,Jon Snow,jon,House Stark of Winterfell
"Why is it that when one man builds a wall, the next man immediately needs to know what's on the other side?",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
I am your son. I have always been your son.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
I'm guilty of being a dwarf.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
Many underestimated you. Most of them are dead now.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
I have always found revenge to be the purest of motivations.,Petyr Baelish,baelish,House Baelish of Harrenhal
A madman sees what he sees.,"Eddard ""Ned"" Stark",ned,House Stark of Winterfell
"I am a Stark of Winterfell, this is my home. And you can't frighten me.",Sansa Stark,sansa,House Stark of Winterfell
"I'm the King, I get what I want. I never loved my brothers. Sad thing for a man to admit, but it's true. You were the brother I chose.",Robert Baratheon,robert,House Baratheon of Dragonstone
A man with no motive is a man no one suspects. Always keep your foes confused.,Petyr Baelish,baelish,House Baelish of Harrenhal
Love is more powerful than reason. We all know that.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"If you ever call me sister again, I'll have you strangled in your sleep.",Cersei Lannister,cersei,House Lannister of Casterly Rock
"Every day that he remains a prisoner, the less our name commands respect.",Tywin Lannister,tywin,House Lannister of Casterly Rock
I have always found revenge to be the purest of motivations.,Petyr Baelish,baelish,House Baelish of Harrenhal
You love your children. It's your one redeeming quality. That and your cheekbones.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
He was no dragon. Fire cannot kill a dragon.,Daenerys Targaryen,daenerys,House Targaryen of King's Landing
There is only one war that matters. The Great War. And it is here.,Jon Snow,jon,House Stark of Winterfell
All I ever wanted was to fight for a lord I believed in. But the good lords are dead and the rest are monsters.,Brienne of Tarth,brienne,House Tarth of Evenfall Hall
"Never forget what you are. The rest of the world will not. Wear it like armor, and it can never be used to hurt you.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
There is only one war that matters. The Great War. And it is here.,Jon Snow,jon,House Stark of Winterfell
It's better to be cruel than weak.,Theon Greyjoy,theon,House Greyjoy of Pyke
"If you want a whore, buy one. If you want a Queen, earn her.",Cersei Lannister,cersei,House Lannister of Casterly Rock
"I am a Stark of Winterfell, this is my home. And you can't frighten me.",Sansa Stark,sansa,House Stark of Winterfell
I have a lot of experience in losing.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"I have a tender spot in my heart for cripples, bastards and broken things.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
I know that our enemies hate each other almost as much as they hate us.,Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"If I fall, don't bring me back.",Jon Snow,jon,House Stark of Winterfell
"Death is so terribly final, while life is full of possibilities.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"When people ask you what happened here, tell them the North remembers. Tell them winter came for House Frey.",Arya Stark,arya,House Stark of Winterfell
"All men must die, but we are not men.",Daenerys Targaryen,daenerys,House Targaryen of King's Landing
"People often claim to hunger for truth, but seldom like the taste when it's served up.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
"Well, my brother has his sword, and I have my mind, and a mind needs books like a sword needs a whetstone, if it's to keep its edge.",Tyrion Lannister,tyrion,House Lannister of Casterly Rock
